Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.01,51.12,CALGARY INTL A,3031092,2016-01-01,2016,1,1,,1.2,,-12.0,,-5.4,,23.4,,0.0,,0.0,,0.0,,0.0,,11.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-02,2016,1,2,,-1.6,,-16.8,,-9.2,,27.2,,0.0,,0.0,,0.0,,0.0,,11.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-03,2016,1,3,,-2.7,,-16.3,,-9.5,,27.5,,0.0,,0.0,,0.0,,0.0,,11.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-04,2016,1,4,,-2.0,,-12.9,,-7.5,,25.5,,0.0,,0.0,,0.0,,0.0,,10.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-05,2016,1,5,,-7.1,,-13.8,,-10.5,,28.5,,0.0,,0.0,,0.0,,0.0,,10.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-06,2016,1,6,,-8.6,,-16.6,,-12.6,,30.6,,0.0,,0.0,,0.0,T,0.0,T,10.0,,34.0,,35,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-07,2016,1,7,,-9.5,,-15.6,,-12.6,,30.6,,0.0,,0.0,,4.8,,3.2,,11.0,,35.0,,37,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-08,2016,1,8,,-13.1,,-22.3,,-17.7,,35.7,,0.0,,0.0,,0.0,T,0.0,T,13.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-09,2016,1,9,,-5.0,,-25.5,,-15.3,,33.3,,0.0,,0.0,,0.0,T,0.0,T,13.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-10,2016,1,10,,-1.0,,-16.2,,-8.6,,26.6,,0.0,,0.0,,0.0,,0.0,,13.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-11,2016,1,11,,-2.1,,-10.0,,-6.1,,24.1,,0.0,,0.0,,0.0,,0.0,,13.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-12,2016,1,12,,6.3,,-9.9,,-1.8,,19.8,,0.0,,0.0,,0.0,,0.0,,13.0,,28.0,,56,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-13,2016,1,13,,8.7,,-4.7,,2.0,,16.0,,0.0,,0.0,,0.0,,0.0,,12.0,,29.0,,48,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-14,2016,1,14,,1.1,,-3.8,,-1.4,,19.4,,0.0,,0.0,,0.4,,0.4,,11.0,,34.0,,37,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-15,2016,1,15,,-3.7,,-12.7,,-8.2,,26.2,,0.0,,0.0,,2.3,,1.7,,11.0,,5.0,,35,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-16,2016,1,16,,-12.7,,-17.5,,-15.1,,33.1,,0.0,,0.2,,1.0,,1.0,,11.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-17,2016,1,17,,-12.3,,-17.9,,-15.1,,33.1,,0.0,,0.0,,0.4,,0.2,,11.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-18,2016,1,18,,5.0,,-12.3,,-3.7,,21.7,,0.0,,0.0,,0.0,T,0.0,T,11.0,,1.0,,39,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-19,2016,1,19,,5.3,,-9.8,,-2.3,,20.3,,0.0,,0.0,,0.0,,0.0,,10.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-20,2016,1,20,,-6.1,,-11.2,,-8.7,,26.7,,0.0,,0.0,,0.2,,0.2,,9.0,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2016-01-21,2016,1,21,,3.0,,-12.5,,-4.8,,22.8,,0.0,,0.0,,0.0,,0.0,,9.0,,,,<31,
